primary_country	prefix_8	variants_in_group	primary_affiliation_name	additional_affiliations	additional_countries	multi_value	affiliation_value_count	country_value_count	award_record_count	award_record_ids
United Kingdom	universi	19	University of London			no	1	1	8	fields-000061,nobel-000110,nobel-000144,nobel-000145,nobel-000197,nobel-000220,nobel-000340,nobel-000586
United Kingdom	universi	19	University of Manchester			no	1	1	4	gairdner_international_award-000015,gairdner_international_award-000088,nobel-000839,nobel-000840
United Kingdom	universi	19	University of Nottingham			no	1	1	2	nobel-000754,shaw_prize-000023
United Kingdom	universi	19	University of Oxford			no	1	1	47	abel_prize-000017,breakthrough-000066,breakthrough-000110,crafoord-000018,crafoord-000020,crafoord-000024,crafoord-000032,fields-000006,fields-000039,fields-000055,gairdner_international_award-000010,gairdner_international_award-000042,gairdner_international_award-000061,gairdner_international_award-000074,gairdner_international_award-000187,gairdner_international_award-000200,gairdner_international_award-000214,gairdner_international_award-000215,gairdner_international_award-000249,gairdner_international_award-000292,gairdner_international_award-000305,gairdner_international_award-000326,gairdner_international_award-000327,kyoto_prize-000026,kyoto_prize-000049,lasker_awards-000321,nobel-000103,nobel-000165,nobel-000221,nobel-000222,nobel-000233,nobel-000292,nobel-000354,nobel-000420,nobel-000424,nobel-000434,nobel-000945,nobel-000960,shaw_prize-000003,shaw_prize-000050,shaw_prize-000071,shaw_prize-000085,shaw_prize-000098,turing_award-000013,turing_award-000017,wolf_prize-000071,wolf_prize-000107
United Kingdom	universi	19	University of Oxford and University of Dundee			no	1	1	1	breakthrough-000070
United Kingdom	universi	19	University of Oxford, Francis Crick Institute			no	1	1	1	lasker_awards-000375
United Kingdom	universi	19	University of Reading			no	1	1	1	japan_prize-000109
United Kingdom	universi	19	University of Sussex			no	1	1	5	crafoord-000030,kyoto_prize-000055,nobel-000452,nobel-000664,wolf_prize-000035
United Kingdom	universi	19	University of Warwick			no	1	1	2	fields-000015,gairdner_international_award-000276
United Kingdom	wellcome	3	Wellcome Research Laboratories			no	1	1	3	gairdner_international_award-000129,lasker_awards-000177,wolf_prize-000051
United Kingdom	wellcome	3	Wellcome Sanger Institute			no	1	1	1	gairdner_international_award-000263
United Kingdom	wellcome	3	Wellcome Trust / Cancer Research Campaign (CRC) Institute			no	1	1	1	japan_prize-000047
United States	american	4	American Cancer Society			no	1	1	1	lasker_awards-000225
United States	american	4	American Cancer Society University of Wisconsin			no	1	1	1	lasker_awards-000161
United States	american	4	American Heart Association Harvard Medical School			no	1	1	1	lasker_awards-000091
United States	american	4	American Public Health Association			no	1	1	1	lasker_awards-000081
United States	boston c	2	Boston Children's Hospital			no	1	1	1	gairdner_international_award-000353
United States	boston c	2	Boston Children’s Hospital/Harvard Medical School			no	1	1	1	lasker_awards-000403
United States	brigham 	2	Brigham and Women's Hospital	Harvard Medical School; Howard Hughes Medical Institute		yes	3	1	1	breakthrough-000058
United States	brigham 	2	Brigham and Women’s Hospital			no	1	1	2	lasker_awards-000371,nobel-000608
United States	bristol-	2	Bristol-Meyers Squibb- Squibb Institute for Medical Research			no	1	1	2	lasker_awards-000056,lasker_awards-000058
United States	bristol-	2	Bristol-Myers Squibb Pharmaceutical Research Institute			no	1	1	2	lasker_awards-000285,lasker_awards-000286
United States	carnegie	5	Carnegie Institution			no	1	1	1	lasker_awards-000327
United States	carnegie	5	Carnegie Institution for Science in Baltimore			no	1	1	1	lasker_awards-000356
