prefix,affiliation_name,award_record_count
univer,"University Hospital of Lund",1
univer,"University of Aberdeen",1
univer,"University of Alberta",4
univer,"University of Arizona",1
univer,"University of Augsburg",1
univer,"University of Basel",3
univer,"University of Berlin",4
univer,"University of Birmingham",1
univer,"University of Bonn",2
univer,"University of Bristol",1
univer,"University of British Columbia",9
univer,"University of Calgary",1
univer,"University of California",52
univer,"University of California Davis",1
univer,"University of California San Diego",1
univer,"University of California, Berkeley",31
univer,"University of California, Berkeley and Lawrence Berkeley National Laboratory; Australian National University;Johns Hopkins University and Space Telescope Science Institute",3
univer,"University of California, Berkeley; Howard Hughes Medical Institute; Lawrence Berkeley National Laboratory",1
univer,"University of California, Berkeley; Institute for Advanced Study",1
univer,"University of California, Davis",2
univer,"University of California, Irvine",2
univer,"University of California, Kavli Institute for Theoretical Physics",1
univer,"University of California, Los Angeles",10
univer,"University of California, San Diego",10
univer,"University of California, San Francisco",29
univer,"University of California, San Francisco; Howard Hughes Medical Institute",1
univer,"University of California, Santa Barbara",1
univer,"University of California, Santa Barbara; Kavli Institute for Theoretical Physics",1
univer,"University of California, Santa Cruz",3
univer,"University of Cambridge",53
univer,"University of Canterbury",1
univer,"University of Chicago",45
univer,"University of Chicago Medical Center",2
univer,"University of Chicago, Ben May Laboratory for Cancer Research",1
univer,"University of Chicago, University of Cincinnati College of Medicine",1
univer,"University of Cincinnati",1
univer,"University of Cologne",1
univer,"University of Colorado",1
univer,"University of Colorado Denver",1
univer,"University of Colorado, Boulder",3
univer,"University of Colorado, JILA",3
univer,"University of Copenhagen",5
univer,"University of Delaware",1
univer,"University of Duisburg-Essen",1
univer,"University of Edinburgh",10
univer,"University of Florida",2
univer,"University of Freiburg",1
univer,"University of Freiburg im Breisgau",1
univer,"University of Geneva",7
univer,"University of Geneva, Switzerland",2
univer,"University of Georgia",1
univer,"University of Gothenburg",5
univer,"University of Graz",1
univer,"University of Grenoble",1
univer,"University of Groningen",1
univer,"University of Göttingen",5
univer,"University of Hamburg",3
univer,"University of Hawaii",1
univer,"University of Hawaii at Manoa",1
univer,"University of Heidelberg",7
univer,"University of Helsinki",2
univer,"University of Hull",1
univer,"University of Illinois",9
univer,"University of Illinois at Urbana",1
univer,"University of Illinois at Urbana–Champaign",4
univer,"University of Illinois School of Medicine",1
univer,"University of Innsbruck",2
univer,"University of Iowa",4
univer,"University of Karlsruhe",1
univer,"University of Lausanne",1
univer,"University of Leicester",1
univer,"University of Leiden",1
univer,"University of Leipzig",2
univer,"University of Lisbon",1
univer,"University of Liverpool",2
univer,"University of Liège",2
univer,"University of Lorraine",2
univer,"University of Maine",1
univer,"University of Mainz",1
univer,"University of Manchester",4
univer,"University of Manitoba",4
univer,"University of Marburg",1
univer,"University of Maryland",3
univer,"University of Massachusetts",6
univer,"University of Massachusetts Amherst",1
univer,"University of Melbourne",2
univer,"University of Michigan",4
univer,"University of Milan",1
univer,"University of Minnesota",10
univer,"University of Missouri",3
univer,"University of Munich",1
univer,"University of New South Wales (UNSW Sydney)",1
univer,"University of North Carolina",3
univer,"University of North Carolina at Chapel Hill",5
univer,"University of Nottingham",2
univer,"University of Oslo",5
univer,"University of Otago",1
univer,"University of Ottawa",2
univer,"University of Oxford",44
univer,"University of Oxford and University of Dundee",1
univer,"University of Oxford, Francis Crick Institute",1
univer,"University of Oxford, Royal Society",1
univer,"University of Paris",6
univer,"University of Paris VI",1
univer,"University of Paris-South",1
univer,"University of Pennsylvania",27
univer,"University of Pennsylvania, Children’s Hospital of Philadelphia; Rockefeller University",1
univer,"University of Pisa, Italy",1
univer,"University of Pittsburgh",4
univer,"University of Puerto Rico",1
univer,"University of Reading",1
univer,"University of Rochester",6
univer,"University of Salzburg",1
univer,"University of Southern California",5
univer,"University of Strasbourg",3
univer,"University of Strasbourg, France",1
univer,"University of Stuttgart",1
univer,"University of Sussex",5
univer,"University of Szeged",1
univer,"University of Tennessee",1
univer,"University of Texas",3
univer,"University of Texas at Austin",9
univer,"University of Texas MD Anderson Cancer Center",3
univer,"University of Texas Medical School at Houston",1

univer,"University of Texas Southwestern Medical Center; Howard Hughes Medical Institute",1
univer,"University of Tokyo",7
univer,"University of Tokyo and RIKEN",1
univer,"University of Toronto",34
univer,"University of Toronto Ontario Cancer Institute",2
univer,"University of Tsukuba",2
univer,"University of Twente",1
univer,"University of Tübingen",3
univer,"University of Utah",8
univer,"University of Utah, Howard Hughes Medical Institute",1
univer,"University of Vienna",4
univer,"University of Virginia",2
univer,"University of Virginia Medical Center",1
univer,"University of Warwick",1
univer,"University of Warwick, UK",1
univer,"University of Washington",26
univer,"University of Washington; Howard Hughes Medical Institute",1
univer,"University of Waterloo",1
univer,"University of Western Ontario",2
univer,"University of Wisconsin",8
univer,"University of Wisconsin (now at the University of Chicago), USA",1
univer,"University of Wisconsin, Madison",2
univer,"University of Wisconsin–Madison",4
univer,"University of Würzburg",1
univer,"University of Zurich",6
univer,"University of Zurich, Institute of Experimental Immunology",1
univer,"Université Catholique de Louvain",1
univer,"Université catholique de Louvain",2
univer,"Université de Montréal",4
univer,"Université de Paris, Laboratoire Immuno-Hématologie",1
univer,"Université de Paris-Dauphine, CEREMADE, France",1
univer,"Université de Paris-Sud (Orsay), France",1
univer,"Université de Strasbourg",1
univer,"Université libre de Bruxelles",4
univer,"Université Louis Pasteur",1
univer,"Université Paris-Saclay",2
univer,"Université Paris-Sud",3
